NAME,total_population,median_income,state,county,tract,GEOID
Census Tract 59.22; Mecklenburg County; North Carolina,3932,115022,37,119,005922,37119005922
Census Tract 59.23; Mecklenburg County; North Carolina,5744,104385,37,119,005923,37119005923
Census Tract 59.24; Mecklenburg County; North Carolina,6696,92639,37,119,005924,37119005924
Census Tract 59.25; Mecklenburg County; North Carolina,3196,120066,37,119,005925,37119005925
Census Tract 59.26; Mecklenburg County; North Carolina,7576,167308,37,119,005926,37119005926
Census Tract 59.27; Mecklenburg County; North Carolina,8152,80280,37,119,005927,37119005927
Census Tract 59.28; Mecklenburg County; North Carolina,1760,92321,37,119,005928,37119005928
Census Tract 59.29; Mecklenburg County; North Carolina,4515,82375,37,119,005929,37119005929
Census Tract 59.30; Mecklenburg County; North Carolina,3077,51591,37,119,005930,37119005930
Census Tract 59.31; Mecklenburg County; North Carolina,4042,80655,37,119,005931,37119005931
Census Tract 59.32; Mecklenburg County; North Carolina,2448,93911,37,119,005932,37119005932
Census Tract 60.05; Mecklenburg County; North Carolina,3409,62663,37,119,006005,37119006005
Census Tract 60.08; Mecklenburg County; North Carolina,3381,87083,37,119,006008,37119006008
Census Tract 60.09; Mecklenburg County; North Carolina,3244,66488,37,119,006009,37119006009
Census Tract 60.11; Mecklenburg County; North Carolina,3277,66537,37,119,006011,37119006011
Census Tract 60.12; Mecklenburg County; North Carolina,4895,66705,37,119,006012,37119006012
Census Tract 60.13; Mecklenburg County; North Carolina,4610,95426,37,119,006013,37119006013
Census Tract 60.14; Mecklenburg County; North Carolina,4001,92273,37,119,006014,37119006014
Census Tract 60.15; Mecklenburg County; North Carolina,4099,91280,37,119,006015,37119006015
Census Tract 60.16; Mecklenburg County; North Carolina,2622,58617,37,119,006016,37119006016
Census Tract 61.03; Mecklenburg County; North Carolina,4596,72941,37,119,006103,37119006103
Census Tract 61.05; Mecklenburg County; North Carolina,2856,84888,37,119,006105,37119006105
Census Tract 61.08; Mecklenburg County; North Carolina,4566,69135,37,119,006108,37119006108
Census Tract 61.09; Mecklenburg County; North Carolina,3190,47008,37,119,006109,37119006109
Census Tract 61.10; Mecklenburg County; North Carolina,5579,74333,37,119,006110,37119006110
Census Tract 61.11; Mecklenburg County; North Carolina,3887,76369,37,119,006111,37119006111
Census Tract 61.12; Mecklenburg County; North Carolina,2458,58789,37,119,006112,37119006112
Census Tract 61.13; Mecklenburg County; North Carolina,3468,81593,37,119,006113,37119006113
Census Tract 61.14; Mecklenburg County; North Carolina,3443,67941,37,119,006114,37119006114
Census Tract 61.15; Mecklenburg County; North Carolina,4170,73995,37,119,006115,37119006115
Census Tract 62.08; Mecklenburg County; North Carolina,3741,99548,37,119,006208,37119006208
Census Tract 62.09; Mecklenburg County; North Carolina,4924,86289,37,119,006209,37119006209
Census Tract 62.10; Mecklenburg County; North Carolina,4569,125333,37,119,006210,37119006210
Census Tract 62.11; Mecklenburg County; North Carolina,6283,111667,37,119,006211,37119006211
Census Tract 62.12; Mecklenburg County; North Carolina,4427,94583,37,119,006212,37119006212
Census Tract 62.14; Mecklenburg County; North Carolina,4059,127470,37,119,006214,37119006214
Census Tract 62.16; Mecklenburg County; North Carolina,2042,171429,37,119,006216,37119006216
Census Tract 62.17; Mecklenburg County; North Carolina,2996,140089,37,119,006217,37119006217
Census Tract 62.18; Mecklenburg County; North Carolina,3069,169569,37,119,006218,37119006218
Census Tract 62.19; Mecklenburg County; North Carolina,2995,188098,37,119,006219,37119006219
Census Tract 62.20; Mecklenburg County; North Carolina,2866,103703,37,119,006220,37119006220
Census Tract 62.21; Mecklenburg County; North Carolina,4297,114191,37,119,006221,37119006221
Census Tract 62.22; Mecklenburg County; North Carolina,3804,140011,37,119,006222,37119006222
Census Tract 62.23; Mecklenburg County; North Carolina,2661,85938,37,119,006223,37119006223
Census Tract 62.24; Mecklenburg County; North Carolina,3182,72808,37,119,006224,37119006224
Census Tract 63.05; Mecklenburg County; North Carolina,4138,170348,37,119,006305,37119006305
Census Tract 63.06; Mecklenburg County; North Carolina,1342,98824,37,119,006306,37119006306
Census Tract 63.07; Mecklenburg County; North Carolina,5420,108449,37,119,006307,37119006307
Census Tract 63.08; Mecklenburg County; North Carolina,4036,97141,37,119,006308,37119006308
Census Tract 63.09; Mecklenburg County; North Carolina,1813,61471,37,119,006309,37119006309
Census Tract 63.10; Mecklenburg County; North Carolina,3485,110505,37,119,006310,37119006310
Census Tract 63.11; Mecklenburg County; North Carolina,3971,180571,37,119,006311,37119006311
Census Tract 64.03; Mecklenburg County; North Carolina,5969,113654,37,119,006403,37119006403
Census Tract 64.04; Mecklenburg County; North Carolina,7229,209321,37,119,006404,37119006404
Census Tract 64.07; Mecklenburg County; North Carolina,4110,123750,37,119,006407,37119006407
Census Tract 64.08; Mecklenburg County; North Carolina,2766,97941,37,119,006408,37119006408
Census Tract 64.09; Mecklenburg County; North Carolina,3334,106833,37,119,006409,37119006409
Census Tract 64.10; Mecklenburg County; North Carolina,3478,80952,37,119,006410,37119006410
Census Tract 64.11; Mecklenburg County; North Carolina,2915,65568,37,119,006411,37119006411
Census Tract 9801; Mecklenburg County; North Carolina,0,-666666666,37,119,980100,37119980100
Census Tract 9802; Mecklenburg County; North Carolina,0,-666666666,37,119,980200,37119980200
Census Tract 9803; Mecklenburg County; North Carolina,0,-666666666,37,119,980300,37119980300
